Cam,BeforeAfterFire,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,DistanceBurnEdge,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
27,2,3,1,4,9,4,4541,550,2676,137,2,3,-8.7,-48.2,1,120,0.73,2.2,40.32,0,3.23,0,1.61,552.78,33
28,2,3,1,4,9,1,4150,391,2782,179,2,1,1.8,26,2,-99,0.63,79.9,24.19,16.13,0,0,0,536.85,33
29,2,2,1,3,9,4,3553,56,2665,56,2,3,-3.9,-59.8,1,90,0.76,9.6,17.74,6.45,1.61,0,0,513.61,33
30,2,1,1,2,9,1,3261,307,1951,125,2,1,4.1,35.1,2,-36,0.63,30.4,26.98,22.22,3.17,0,3.17,525.41,33
31,2,1,1,2,9,1,3028,244,1193,70,2,2,2,-9.7,1,71,0.68,9,29.69,1.56,0,0,3.13,500.01,34
32,2,3,1,4,12,2,4200,115,1797,234,2,1,-0.2,27,1,718,0.74,0,26.56,0,0,0,0,607.41,34
33,2,3,1,4,9,1,3891,87,1824,228,1,2,1,41.2,2,-24,0.66,60.9,37.5,26.56,0,0,0,593.27,34
34,2,3,1,4,9,1,3399,54,1876,208,2,2,0.1,50.5,2,-6,0.6,69.3,22.58,29.03,0,1.61,0,519.2,33
35,2,1,2,3,9,3,2836,231,1800,108,2,2,0.1,5.1,1,459,0.71,0,31.15,4.92,0,0,1.64,535.27,32
36,2,1,1,2,9,4,2149,42,1329,24,2,3,0,-32.7,1,919,0.72,0,29.23,13.85,9.23,0,3.08,474.52,34
37,2,2,0,2,36,2,2591,26,904,88,2,2,-0.8,-27.3,1,814,0.71,0,3.13,1.56,0,0,1.56,511.4,34
38,2,1,0,1,36,3,2079,38,900,83,2,2,4.1,12.3,1,1184,0.63,0,6.56,3.28,0,0,1.64,485.86,32
9,2,3,0,3,36,2,7151,394,771,169,1,2,0.6,-16.3,1,686,0.72,0,14.06,14.06,0,0,0,578.61,45
10,2,2,0,2,36,1,6562,486,1664,154,2,2,1,-7.3,1,534,0.62,0,12.5,1.56,0,0,3.13,533.43,46
11,2,2,1,3,10,2,6066,411,2497,113,2,2,-0.2,-34.9,1,539,0.69,0,45.31,12.5,3.13,0,1.56,531.02,46
12,2,2,2,4,10,1,5568,420,3290,188,2,1,4.6,51.9,1,421,0.65,0,14.06,4.69,0,1.56,0,498.08,46
13,2,3,1,4,10,1,5103,711,3598,171,1,1,3.4,40.7,1,726,0.64,0,17.19,32.81,1.56,0,0,539.45,46
14,2,2,1,3,10,1,4595,774,3019,141,2,2,1.4,25.4,1,776,0.73,0,39.06,21.88,18.75,6.25,3.13,509.52,45
15,2,2,2,4,10,1,3696,404,2231,75,2,2,-0.6,-8.9,1,541,0.69,0,35.94,37.5,0,0,0,487.27,46
16,2,1,2,3,14,1,2799,380,1558,50,2,2,-2.2,-11.9,1,382,0.72,0,14.06,9.38,0,1.56,0,479.91,44
17,2,3,1,4,9,1,6309,64,1599,218,1,2,0.3,6.2,2,-2,0.67,36.4,21.88,15.63,0,0,3.13,602.68,43
18,2,2,1,3,9,1,6091,116,1952,182,1,2,-4,-8.6,2,-13,0.7,60.2,34.38,10.94,0,1.56,0,582.4,43
19,2,2,1,3,9,2,5524,93,2741,227,1,2,2.6,51,1,106,0.74,1.6,17.19,10.94,0,0,1.56,610.19,43
20,2,2,1,3,9,1,4834,51,3745,211,1,2,2.4,44.1,2,-42,0.57,57.7,28.13,15.63,0,1.56,1.56,586.88,43
21,2,2,2,4,9,1,4390,77,3141,179,2,2,3.6,34.2,2,-29,0.67,33.7,18.75,9.38,3.13,7.81,0,539.45,43
22,2,1,2,3,9,1,4046,118,2454,120,2,3,-3.4,-0.8,1,96,0.74,7.4,20.31,1.56,1.56,0,0,509.52,43
23,2,1,2,3,9,1,3749,318,1845,112,2,2,1.3,21.9,2,-108,0.64,94.5,20.31,264.06,0,0,0,500.01,43
24,2,1,2,3,9,1,2888,145,1008,69,2,2,-0.2,-2.4,2,-12,0.75,77.3,26.56,6.25,0,0,0,490.11,44
25,2,3,1,4,9,1,5321,75,2574,248,2,1,-0.1,28.4,2,-13,0.67,36.6,23.44,34.38,0,0,6.25,642.33,43
26,2,3,1,4,9,1,4996,521,2615,222,2,1,1.5,14.4,2,-2,0.64,10.8,75,23.44,0,0,0,625.26,43
27,2,3,1,4,9,4,4541,550,2676,137,2,3,-8.7,-48.2,1,120,0.72,2.2,21.88,0,6.25,0,0,552.78,44
28,2,3,1,4,9,1,4150,391,2782,179,2,1,1.8,26,2,-99,0.54,79.9,31.25,3.13,0,0,0,536.85,44
29,2,2,1,3,9,4,3553,56,2665,56,2,3,-3.9,-59.8,1,90,0.8,9.6,28.13,14.06,1.56,1.56,73.44,513.61,44
30,2,1,1,2,9,1,3261,307,1951,125,2,1,4.1,35.1,2,-36,0.56,30.4,40.63,10.94,0,0,3.13,525.41,45
31,2,1,1,2,9,1,3028,244,1193,70,2,2,2,-9.7,1,71,0.71,9,23.44,1.56,0,0,1.56,500.01,45
32,2,3,1,4,12,2,4200,115,1797,234,2,1,-0.2,27,1,718,0.75,0,25,1.56,1.56,0,0,607.41,45
33,2,3,1,4,9,1,3891,87,1824,228,1,2,1,41.2,2,-24,0.62,60.9,48.44,26.56,0,0,0,593.27,45
34,2,3,1,4,9,1,3399,54,1876,208,2,2,0.1,50.5,2,-6,0.54,69.3,29.69,40.63,0,0,0,519.2,44
35,2,1,2,3,9,3,2836,231,1800,108,2,2,0.1,5.1,1,459,0.76,0,34.38,1.56,3.13,0,1.56,535.27,44
36,2,1,1,2,9,4,2149,42,1329,24,2,3,0,-32.7,1,919,0.76,0,15.63,26.56,23.44,0,35.94,474.52,44
37,2,2,0,2,36,2,2591,26,904,88,2,2,-0.8,-27.3,1,814,0.73,0,3.13,12.5,0,0,0,511.4,43
38,2,1,0,1,36,3,2079,38,900,83,2,2,4.1,12.3,1,1184,0.73,0,14.06,0,1.56,0,0,485.86,42
9,2,3,0,3,36,2,7151,394,771,169,1,2,0.6,-16.3,1,686,0.72,0,41.27,31.75,0,0,0,578.61,72
10,2,2,0,2,36,1,6562,486,1664,154,2,2,1,-7.3,1,534,0.62,0,47.62,1.59,0,0,1.59,533.43,71
11,2,2,1,3,10,2,6066,411,2497,113,2,2,-0.2,-34.9,1,539,0.69,0,31.75,9.52,0,0,0,531.02,71
12,2,2,2,4,10,1,5568,420,3290,188,2,1,4.6,51.9,1,421,0.65,0,46.03,1.59,0,4.76,0,498.08,71
13,2,3,1,4,10,1,5103,711,3598,171,1,1,3.4,40.7,1,726,0.64,0,36.51,66.67,6.35,0,0,539.45,71
14,2,2,1,3,10,1,4595,774,3019,141,2,2,1.4,25.4,1,776,0.73,0,66.67,76.19,6.35,1.59,0,509.52,71
15,2,2,2,4,10,1,3696,404,2231,75,2,2,-0.6,-8.9,1,541,0.69,0,30.16,39.68,0,0,0,487.27,70
16,2,1,2,3,14,1,2799,380,1558,50,2,2,-2.2,-11.9,1,382,0.72,0,3.17,14.29,3.17,0,0,479.91,72
17,2,3,1,4,9,1,6309,64,1599,218,1,2,0.3,6.2,2,-2,0.67,36.4,45.31,32.81,0,1.56,0,602.68,74
18,2,2,1,3,9,1,6091,116,1952,182,1,2,-4,-8.6,2,-13,0.7,60.2,53.13,4.69,0,0,0,582.4,74
19,2,2,1,3,9,2,5524,93,2741,227,1,2,2.6,51,1,106,0.74,1.6,31.25,29.69,0,0,0,610.19,74
20,2,2,1,3,9,1,4834,51,3745,211,1,2,2.4,44.1,2,-42,0.57,57.7,35.94,76.56,0,3.13,0,586.88,74
21,2,2,2,4,9,1,4390,77,3141,179,2,2,3.6,34.2,2,-29,0.67,33.7,34.38,14.06,7.81,1.56,0,539.45,74
22,2,1,2,3,9,1,4046,118,2454,120,2,3,-3.4,-0.8,1,96,0.74,7.4,12.5,4.69,0,0,0,509.52,74
23,2,1,2,3,9,1,3749,318,1845,112,2,2,1.3,21.9,2,-108,0.64,94.5,34.38,101.56,0,1.56,0,500.01,74
24,2,1,2,3,9,1,2888,145,1008,69,2,2,-0.2,-2.4,2,-12,0.75,77.3,57.81,1.56,0,0,1.56,490.11,74
25,2,3,1,4,9,1,5321,75,2574,248,2,1,-0.1,28.4,2,-13,0.67,36.6,64.06,6.25,0,0,3.13,642.33,74
26,2,3,1,4,9,1,4996,521,2615,222,2,1,1.5,14.4,2,-2,0.64,10.8,81.25,20.31,0,0,0,625.26,72
27,2,3,1,4,9,4,4541,550,2676,137,2,3,-8.7,-48.2,1,120,0.72,2.2,28.13,0,0,0,0,552.78,71
28,2,3,1,4,9,1,4150,391,2782,179,2,1,1.8,26,2,-99,0.54,79.9,42.19,15.63,0,0,0,536.85,71
29,2,2,1,3,9,4,3553,56,2665,56,2,3,-3.9,-59.8,1,90,0.8,9.6,40.63,9.38,1.56,3.13,7.81,513.61,71
30,2,1,1,2,9,1,3261,307,1951,125,2,1,4.1,35.1,2,-36,0.56,30.4,60.94,21.88,1.56,0,3.13,525.41,71
31,2,1,1,2,9,1,3028,244,1193,70,2,2,2,-9.7,1,71,0.71,9,56.25,7.81,3.13,0,0,500.01,71
32,2,3,1,4,12,2,4200,115,1797,234,2,1,-0.2,27,1,718,0.75,0,31.25,9.38,1.56,0,0,607.41,71
33,2,3,1,4,9,1,3891,87,1824,228,1,2,1,41.2,2,-24,0.62,60.9,67.19,234.38,0,0,0,593.27,71
34,2,3,1,4,9,1,3399,54,1876,208,2,2,0.1,50.5,2,-6,0.54,69.3,48.44,57.81,0,0,0,519.2,71
35,2,1,2,3,9,3,2836,231,1800,108,2,2,0.1,5.1,1,459,0.76,0,50,3.13,7.81,0,0,535.27,71
36,2,1,1,2,9,4,2149,42,1329,24,2,3,0,-32.7,1,919,0.76,0,46.88,20.31,23.44,0,10.94,474.52,73
37,2,2,0,2,36,2,2591,26,904,88,2,2,-0.8,-27.3,1,814,0.73,0,4.69,7.81,1.56,0,0,511.4,74
38,2,1,0,1,36,3,2079,38,900,83,2,2,4.1,12.3,1,1184,0.73,0,26.56,21.88,0,0,0,485.86,74
